Student_ID,Gender,Age,Attendance_Percentage,Study_Hours,Previous_Grades,Parent_Education,Internet_Access,Family_Income,Extra_Activities,School_Type,Final_Exam_Score,Pass_Fail_Status
STU1913,Female,18,94.31945686605188,9.220052033459469,75.59726682722564,Associate's,Yes,Medium,Yes,Public,100,Pass
STU1692,Male,16,93.71569219141668,5.366713008697186,80.3916047966148,Associate's,No,Low,Yes,Public,99,Pass
STU1552,Female,17,96.22444316284164,5.20219905986282,69.76790766849484,Associate's,Yes,Medium,No,Public,92,Pass
STU1778,Female,16,95.50285648966042,3.303010120513556,87.60298733102451,Associate's,Yes,Medium,No,Public,98,Pass
STU1465,Female,18,96.3910968005649,1.8446149022925369,72.39859875615777,High School,Yes,Medium,No,Public,81,Pass
STU1163,Female,16,98.3482575385039,2.8157663902915235,73.09561405271602,High School,Yes,Medium,Yes,Public,98,Pass
STU1421,Female,16,90.9329596516718,5.794314102320515,86.4790490376505,High School,No,High,Yes,Public,100,Pass
STU1238,Male,16,94.80285550495748,7.065717460360469,55.469083439224,Bachelor's,Yes,High,Yes,Private,100,Pass
STU1869,Female,15,91.69523256785205,4.738831561493468,90.90164785305494,Associate's,Yes,High,No,Public,100,Pass
STU1988,Male,16,97.83857313442194,6.843478710416006,65.72576895556456,Master's,Yes,Medium,Yes,Public,100,Pass
STU1324,Male,15,95.88576825473518,8.551434688094215,71.7303722799052,Bachelor's,Yes,Low,No,Public,100,Pass
STU1768,Female,16,81.86146760767397,1.061326281039797,80.17247515253426,High School,Yes,Medium,No,Public,89,Pass
STU1496,Male,17,96.04618402048332,5.651177893844898,63.7295514349796,Master's,Yes,Medium,No,Public,97,Pass
STU1534,Female,16,94.07310903447237,2.380753978879325,73.91808692598477,Bachelor's,Yes,Medium,No,Public,91,Pass
STU1895,Female,16,99.07308032496414,3.540042443829532,79.55565123630707,Associate's,No,Medium,Yes,Private,100,Pass
STU1129,Male,16,81.37893871843315,4.057087762861932,60.21272095826216,Associate's,Yes,Medium,Yes,Private,85,Pass
STU1148,Female,17,97.67957154960168,2.759339794728069,61.15373349657196,Associate's,Yes,Medium,No,Public,88,Pass
STU1172,Male,18,99.23218113455953,3.91104097967692,76.93188243453001,Master's,Yes,High,No,Public,100,Pass
