Student_ID,Gender,Age,Attendance_Percentage,Study_Hours,Previous_Grades,Parent_Education,Internet_Access,Family_Income,Extra_Activities,School_Type,Final_Exam_Score,Pass_Fail_Status,Attendance_Category,Study_Efficiency_Index,Risk_Level,Performance_Grade
STU1913,Female,18,94.31945686605188,9.220052033459469,75.59726682722564,Associate's,Yes,Medium,Yes,Public,100,Pass,Good,8.696303000726342,Low,O
STU1692,Male,16,93.71569219141668,5.366713008697186,80.3916047966148,Associate's,No,Low,Yes,Public,99,Pass,Good,5.029452244027372,Low,O
STU1552,Female,17,96.22444316284164,5.20219905986282,69.76790766849484,Associate's,Yes,Medium,No,Public,92,Pass,Excellent,5.005787077575581,Low,O
STU1778,Female,16,95.50285648966042,3.303010120513556,87.60298733102451,Associate's,Yes,Medium,No,Public,98,Pass,Excellent,3.154469015233021,Low,O
STU1465,Female,18,96.3910968005649,1.8446149022925369,72.39859875615777,High School,Yes,Medium,No,Public,81,Pass,Excellent,1.7780445360664447,Medium,A+
STU1163,Female,16,98.3482575385039,2.8157663902915235,73.09561405271602,High School,Yes,Medium,Yes,Public,98,Pass,Excellent,2.7692571812065423,Low,O
STU1421,Female,16,90.9329596516718,5.794314102320515,86.4790490376505,High School,No,High,Yes,Public,100,Pass,Good,5.268941304754242,Low,O
STU1238,Male,16,94.80285550495748,7.065717460360469,55.469083439224,Bachelor's,Yes,High,Yes,Private,100,Pass,Good,6.698501914334086,Medium,O
STU1869,Female,15,91.69523256785205,4.738831561493468,90.90164785305494,Associate's,Yes,High,No,Public,100,Pass,Good,4.3452826213102105,Low,O
STU1988,Male,16,97.83857313442194,6.843478710416006,65.72576895556456,Master's,Yes,Medium,Yes,Public,100,Pass,Excellent,6.69556192302896,Low,O
STU1324,Male,15,95.88576825473518,8.551434688094215,71.7303722799052,Bachelor's,Yes,Low,No,Public,100,Pass,Excellent,8.199608847481056,Low,O
STU1768,Female,16,81.86146760767397,1.061326281039797,80.17247515253426,High School,Yes,Medium,No,Public,89,Pass,Borderline,0.8688172697651243,Medium,A+
STU1496,Male,17,96.04618402048332,5.651177893844898,63.7295514349796,Master's,Yes,Medium,No,Public,97,Pass,Excellent,5.4277407192471445,Medium,O
STU1534,Female,16,94.07310903447237,2.380753978879325,73.91808692598477,Bachelor's,Yes,Medium,No,Public,91,Pass,Good,2.2396492863936865,Low,O
STU1895,Female,16,99.07308032496414,3.540042443829532,79.55565123630707,Associate's,No,Medium,Yes,Private,100,Pass,Excellent,3.5072290939130557,Low,O
STU1129,Male,16,81.37893871843315,4.057087762861932,60.21272095826216,Associate's,Yes,Medium,Yes,Private,85,Pass,Borderline,3.3016149642924617,Medium,A+
STU1148,Female,17,97.67957154960168,2.759339794728069,61.15373349657196,Associate's,Yes,Medium,No,Public,88,Pass,Excellent,2.695311289088036,Medium,A+
STU1172,Male,18,99.23218113455953,3.91104097967692,76.93188243453001,Master's,Yes,High,No,Public,100,Pass,Excellent,3.8810112691998526,Low,O
STU1514,Female,15,89.35580355244497,3.902013680492967,72.27015569277273,Associate's,Yes,Medium,No,Private,86,Pass,Good,3.486675678930823,Low,A+
STU1292,Male,15,89.08466990612723,3.888549237666301,72.02575538551851,High School,Yes,High,No,Private,100,Pass,Good,3.4641012525122514,Low,O
STU1701,Female,18,86.71886780773241,8.114243839958482,79.51164569986462,Associate's,Yes,Low,No,Private,100,Pass,Good,7.036580389170666,Low,O
STU1342,Male,16,85.71964938839531,1.1956787342645678,85.79658395071957,Associate's,Yes,Medium,Yes,Private,87,Pass,Good,1.0249316188231905,Medium,A+
STU1833,Male,16,98.0378886362613,10.0,83.17049414324693,Associate's,Yes,Low,No,Private,100,Pass,Excellent,9.803788863626131,Low,O
STU1075,Female,18,91.04217965072804,6.161504943282584,82.36645991462407,High School,Yes,Medium,No,Private,100,Pass,Good,5.6095683996518195,Low,O
STU1898,Female,15,83.5094199027196,9.558241553757307,68.01606649343908,High School,Yes,Low,No,Public,100,Pass,Borderline,7.98203207444342,Medium,O
STU1133,Male,15,95.58611390559568,1.0,100.0,Associate's,Yes,Medium,Yes,Private,100,Pass,Excellent,0.9558611390559568,Medium,O
STU1037,Male,16,97.250796389277,1.9048436233454664,71.95793127889591,High School,Yes,Medium,Yes,Public,86,Pass,Excellent,1.852475593673826,Medium,A+
STU1613,Female,16,87.00050946299626,3.625701203736287,71.61566917009627,Bachelor's,Yes,Medium,Yes,Public,93,Pass,Good,3.1543785188565576,Low,O
STU1128,Female,16,89.23819259041166,6.43826115088752,95.96736602741578,High School,Yes,Medium,Yes,Public,100,Pass,Good,5.74538788530266,Low,O
STU1257,Female,15,86.89880726466431,3.6015571756749027,79.76002495899998,High School,Yes,Low,Yes,Private,88,Pass,Good,3.129710228616421,Low,A+
STU1110,Male,15,79.59663707774777,4.424661203945103,86.11788525162038,Bachelor's,Yes,Medium,No,Public,92,Pass,Borderline,3.5218815204240888,Medium,O
STU1770,Female,16,98.32486777752072,1.2444518514613494,59.98053761411522,High School,Yes,High,No,Public,74,Pass,Excellent,1.2236056375042803,Medium,A
STU1033,Male,15,92.55671906135294,2.8821824455477745,85.4739059266233,Associate's,Yes,Medium,No,Public,98,Pass,Good,2.667653508961285,Low,O
STU1637,Female,16,85.57495363187998,6.838263191170672,67.91385546346588,Associate's,Yes,Medium,No,Public,95,Pass,Good,5.851840555070218,Low,O
STU1389,Female,18,88.07798529454749,2.860462516663087,56.757217931669445,Associate's,Yes,High,No,Public,93,Pass,Good,2.519437754782557,Medium,O
STU1669,Male,15,99.226713146102,2.8712106857330184,58.5455840779338,High School,Yes,Medium,No,Public,90,Pass,Excellent,2.84900799095253,Medium,O
STU1337,Female,15,91.98325645750444,4.072523879543061,64.84075974109975,High School,Yes,Low,No,Public,97,Pass,Good,3.746040084413203,Medium,O
STU1578,Female,17,96.67862422396416,1.869490268406916,71.8836160538087,High School,No,Low,No,Public,87,Pass,Excellent,1.8073974714967012,Medium,A+
STU1811,Female,17,85.44986970486254,3.47320422127413,72.45027913911832,High School,Yes,Low,No,Private,87,Pass,Good,2.9678484816625295,Low,A+
STU1531,Female,16,93.04246914890884,3.726102029095696,71.07772571943534,Associate's,Yes,Medium,Yes,Private,98,Pass,Good,3.4668573308782293,Low,O
STU1468,Female,16,94.32261819467644,6.420975117671077,78.79424323705268,Associate's,Yes,Medium,No,Private,100,Pass,Good,6.056431844616066,Low,O
STU1195,Male,15,90.88137423015304,1.4799468737278478,59.635131153269306,High School,Yes,Medium,Yes,Public,81,Pass,Good,1.3449960567200558,Medium,A+
STU1890,Male,18,88.50164709576458,1.0,55.01074784333012,High School,Yes,Medium,No,Public,75,Pass,Good,0.8850164709576458,Medium,A
STU1101,Male,15,94.08452516705032,6.200720325822909,91.30456659658674,High School,Yes,Low,Yes,Public,100,Pass,Good,5.8339182754872585,Low,O
STU1615,Female,16,95.8238779320216,2.702230244099748,84.68987135162614,Associate's,No,Low,No,Public,89,Pass,Excellent,2.589381810548312,Low,A+
STU1353,Female,16,96.23188036063718,1.1933132794616244,62.47125291556774,Associate's,Yes,High,Yes,Public,89,Pass,Excellent,1.1483478074191062,Medium,A+
STU1181,Male,18,97.47019833829296,9.49780683891318,90.37970959378843,High School,Yes,Medium,No,Public,100,Pass,Excellent,9.257531163676628,Low,O
